,median,p2.5,p97.5,epicurve,loglk,AIC
delaysd,7.59372776111706,7.237297299578392,7.959856258481123,2019-03-03,-3815.897137031443,7635.794274062886
delayCV,0.6384284195609524,0.6177617386524735,0.6611977788410457,2019-03-03,-3815.897137031443,7635.794274062886
delaymean,11.891837859639246,11.49932654426439,12.28866716495846,2019-03-05,-3900.2703971895544,7804.540794379109
delaysd,7.5959002733234495,7.245479862364681,7.966198623687378,2019-03-05,-3900.2703971895544,7804.540794379109
delayCV,0.6385381086844578,0.6180804661333089,0.661162054078145,2019-03-05,-3900.2703971895544,7804.540794379109
delaymean,11.845510438919339,11.456428551602377,12.24488275469474,2019-03-10,-3988.296264133522,7980.592528267044
delaysd,7.558056590751632,7.209162785575823,7.923542576415526,2019-03-10,-3988.296264133522,7980.592528267044
delayCV,0.6379284308624933,0.6173354278010537,0.660290703358699,2019-03-10,-3988.296264133522,7980.592528267044
delaymean,11.859750979384042,11.473886937550224,12.245319228249775,2019-03-12,-4072.7107310715573,8149.421462143115
delaysd,7.575712978444152,7.222438019462043,7.9433562142010405,2019-03-12,-4072.7107310715573,8149.421462143115
delayCV,0.6386964783223311,0.6177020972519708,0.6608945382847452,2019-03-12,-4072.7107310715573,8149.421462143115
delaymean,11.776611922910366,11.39479806355525,12.144093086053115,2019-03-17,-4174.71255587288,8353.42511174576
delaysd,7.393940116122935,7.06186026609182,7.746695746474488,2019-03-17,-4174.71255587288,8353.42511174576
delayCV,0.6280532506670727,0.6085101581042738,0.6492664145383523,2019-03-17,-4174.71255587288,8353.42511174576
delaymean,11.745066947166329,11.365668592295908,12.118485213099632,2019-03-19,-4273.053580042481,8550.107160084963
delaysd,7.332730540938385,7.0132192798751625,7.675019254079509,2019-03-19,-4273.053580042481,8550.107160084963
delayCV,0.6246198254354441,0.6050279633422844,0.6452932081516196,2019-03-19,-4273.053580042481,8550.107160084963
delaymean,11.720593574776478,11.358117422749245,12.085642583575078,2019-03-24,-4365.739212631641,8735.478425263282
delaysd,7.2736103837480135,6.955189646295357,7.608411539181452,2019-03-24,-4365.739212631641,8735.478425263282
delayCV,0.6205394798865589,0.601774639537564,0.64108151205066,2019-03-24,-4365.739212631641,8735.478425263282
delaymean,11.706946576681176,11.348414775977217,12.059804217902473,2019-03-26,-4461.264046545607,8926.528093091214
delaysd,7.225070229956128,6.921945925891644,7.548213847965426,2019-03-26,-4461.264046545607,8926.528093091214
delayCV,0.6172524852683885,0.5989383785339876,0.6374825412286524,2019-03-26,-4461.264046545607,8926.528093091214
delaymean,11.611321130718121,11.266106191905424,11.951871770905148,2019-03-31,-4601.143696945226,9206.287393890452
delaysd,6.9761945114795685,6.695361577358601,7.271569237047465,2019-03-31,-4601.143696945226,9206.287393890452
delayCV,0.6009046149745901,0.5837055842156005,0.6184688490995397,2019-03-31,-4601.143696945226,9206.287393890452
delaymean,11.611650894908827,11.275524518071531,11.952169314040397,2019-04-02,-4707.096330012893,9418.192660025787
delaysd,6.973496224767285,6.696727113166673,7.269530462601799,2019-04-02,-4707.096330012893,9418.192660025787
delayCV,0.6005549871702197,0.5838461917642747,0.6189392354768881,2019-04-02,-4707.096330012893,9418.192660025787
delaymean,11.671077369955869,11.34292033149573,11.99776240615442,2019-04-07,-4816.409454090798,9636.818908181596
delaysd,6.969906670453678,6.702606679938048,7.248641459916301,2019-04-07,-4816.409454090798,9636.818908181596
delayCV,0.5972997257660934,0.581304264386434,0.6142728487536268,2019-04-07,-4816.409454090798,9636.818908181596
